author	place	region		
ВеликийНовгород-Москва	1	Великий Новгород, Москва	Новгородская область		
Новгородскаяобласть	12	Новгородская область	Новгородская область		
СтараяРусса	1	Старая Русса	Новгородская область		
Бердск	6	Бердск	Новосибирская область		
Искитим	1	Искитим	Новосибирская область		
Krasnoobsk	1	Краснообск	Новосибирская область		
Листвянский	1	Листвянский	Новосибирская область		
100lica	1	Москва	Новосибирская область		
100лица	1	Москва	Новосибирская область		
105120Андроньевскаяпл.	1	Москва	Новосибирская область		
177rus	1	Москва	Новосибирская область		
Mexico-Moscow	1	Москва	Новосибирская область		
Белокаменная	4	Москва	Новосибирская область		
накрайmoscow-city	1	Москва	Новосибирская область		
Москва/Новосибирск	1	Москва, Новосибирск	Новосибирская область		
Bobruisk-Новосибирск	1	Новосибирск	Новосибирская область		
NovoCybersk	1	Новосибирск	Новосибирская область		
Novosib	1	Новосибирск	Новосибирская область		
novosib	1	Новосибирск	Новосибирская область		
NovosiBEERsk	1	Новосибирск	Новосибирская область		
novosibirsk	3	Новосибирск	Новосибирская область		
Novosibirsk	131	Новосибирск	Новосибирская область		
novosibirsk--tokyo--osaka	1	Новосибирск	Новосибирская область		
Novosibirsk-покамесь	1	Новосибирск	Новосибирская область		
Novosobirsk	1	Новосибирск	Новосибирская область		
nowosibirsk	1	Новосибирск	Новосибирская область		
г.Новосибирск	1	Новосибирск	Новосибирская область		
Новониколаевск	1	Новосибирск	Новосибирская область		
Ново-Николаевск	1	Новосибирск	Новосибирская область		
Ново-Николаевскъ	1	Новосибирск	Новосибирская область		
Новосиб	2	Новосибирск	Новосибирская область		
Новосибирзг	1	Новосибирск	Новосибирская область		
НОВОСИБИРСК	1	Новосибирск	Новосибирская область		
новосибирск	11	Новосибирск	Новосибирская область		
Новосибирск	566	Новосибирск	Новосибирская область		
НовосибирскийАкадемгородок	1	Новосибирск	Новосибирская область		
Новосибирск-Йокогама	1	Новосибирск	Новосибирская область		
Новосибирск-на-Оби	1	Новосибирск	Новосибирская область		
Новосибирскск	1	Новосибирск	Новосибирская область		
Новосибисрк	1	Новосибирск	Новосибирская область		
Новособирск	1	Новосибирск	Новосибирская область		
Новосибердск	1	Новосибирск, Бердск	Новосибирская область		
Novosibirsk-Moscow	1	Новосибирск, Москва	Новосибирская область		
Новосибирск-Москва	3	Новосибирск, Москва	Новосибирская область		
Новосибирскаяобласть	34	Новосибирская область	Новосибирская область		
Novosibirsk-Biysk-Berdsk-Chernogolovka-Myticshi	1	Новосибирск, Бийск, Бердск, Черноголовка, Мытищи	Новосибирская область, Алтайский край, Московская область		
Nовосибирск-Ялта	1	Новоибирск, Ялта	Новосибирская область, Крым		
Bergen	5	Bergen	Норвегия		
Халден	1	Halden	Норвегия		
Hitra	1	Hitra	Норвегия		
Kirkenes	1	Kirkenes	Норвегия		
Mandal	1	Mandal	Норвегия		
Nordland	1	Nordland	Норвегия		
oslo	2	Oslo	Норвегия		
Oslo	9	Oslo	Норвегия		
Porsgrunn	1	Porsgrunn	Норвегия		
Rogaland	1	Rogaland	Норвегия		
Stavanger	1	Stavanger	Норвегия		
Tromso	1	Tromsø	Норвегия		
Tromsø	1	Tromsø	Норвегия		
Trondheim	2	Trondheim	Норвегия		
Norway	17	Норвегия	Норвегия		
AbuDhabi	2	Абу-Даби	Объединенные Арабские Эмираты		
Dubai	13	Дубай	Объединенные Арабские Эмираты		
Дубай	1	Дубай	Объединенные Арабские Эмираты		
UnitedArabEmirates	7	Объединенные Арабские Эмираты	Объединенные Арабские Эмираты		
Sharm-El-Sheikh	1	Шарм-эль-Шейх	Объединенные Арабские Эмираты		
ЮжнаяПальмира	1	Одесса	Одесса		
Ananiev	1	Ананьев	Одесская область		
Белгород-Днестровский	2	Белгород-Днестровский	Одесская область		
Izmail	2	Измаил	Одесская область		
г.Измаил	1	Измаил	Одесская область		
Ильичевск	2	Ильичевск	Одесская область		
Ильичёвск	3	Ильичевск	Одесская область		
Kominternovskoe	1	Коминтерновское	Одесская область		
Москва-Одесса	1	Москва, Одесса	Одесская область		
Odesa	4	Одесса	Одесская область		
ODESSA	1	Одесса	Одесская область		
odessa	7	Одесса	Одесская область		
Odessa	221	Одесса	Одесская область		
Odessa/Одеса/Одесса	1	Одесса	Одесская область		
Odessa-Kyiv	1	Одесса	Одесская область		
Odessa-Montréal-Sherbrooke-Montréal-Québec-Gatineau	1	Одесса	Одесская область		
Odesss	1	Одесса	Одесская область		
Оdessa	1	Одесса	Одесская область		
Одесcа	1	Одесса	Одесская область		
Одеса	3	Одесса	Одесская область		
ОДЕССА	1	Одесса	Одесская область		
одесса	3	Одесса	Одесская область		
Одесса	176	Одесса	Одесская область		
Odessa-Moscow	1	Одесса, Москва	Одесская область		
Одесскаяобласть	1	Одесская область	Одесская область		
СтараяНекрасовка	1	Старая Некрасовка	Одесская область		
Odessa-Kiev	1	Одесса, Киев	Одесская область, Киев		
amsterdam-frankfurt-new-york-saintpetersburg-odessaetc	1	Одесса, Петербург	Одесская область, Петербург		
Кормиловка	1	Кормиловка	Омская область		
Москва(Омск)	1	Москва, Омск	Омская область		
jvcr	1	Омск	Омская область		
OMSK	1	Омск	Омская область		
omsk	1	Омск	Омская область		
Omsk	39	Омск	Омская область		
Omskcity	1	Омск	Омская область		
Оммммск	1	Омск	Омская область		
ОМск	1	Омск	Омская область		
омск	3	Омск	Омская область		
Омск	195	Омск	Омская область		
Омскаяобласть	10	Омская область	Омская область		
Тара	2	Тара	Омская область		
Омск-Новосибирск	1	Омск, Новосибирск, Москва	Омская область, Новосибирская область		
Омск-Новосибирск-Омск-Москва	1	Омск, Новосибирск, Москва	Омская область, Новосибирская область		
Омск-Петербург	1	Омск, Петербург	Омская область, Петербург		
Санкт-Петербург/Омск	1	Омск, Петербург	Омская область, Петербург		
Омск—СПб/Ярославль	1	Омск, Петербург, Ярославль	Омская область, Петербург, Ярославская область		
Омск->Тверь	1	Омск, Тверь	Омская область, Тверская область		
Buzuluk	1	Бузулук	Оренбургская область		
Бузулук	2	Бузулук	Оренбургская область		
г.Гай	1	Гай	Оренбургская область		
Кувандык	1	Кувандык	Оренбургская область		
Новотроицк	1	Новотроицк	Оренбургская область		
Orenburg	4	Оренбург	Оренбургская область		
ORENgrad	1	Оренбург	Оренбургская область		
ОРЕНБУРГ	1	Оренбург	Оренбургская область		
Оренбург	89	Оренбург	Оренбургская область		
Оренбургскаяобласть	8	Оренбургская область	Оренбургская область		
Orsk	1	Орск	Оренбургская область		
orsk	1	Орск	Оренбургская область		
Orskcity	1	Орск	Оренбургская область		
ОРСК	1	Орск	Оренбургская область		
Орск	7	Орск	Оренбургская область		
Орск-Новотроицк	1	Орск, Новотроицк	Оренбургская область		
Орск-Е-бург-СПб	1	Орск, Екатеринбург, Петербург	Оренбургская область, Свердловская область		
Ливны	1	Ливны	Орловская область		
Orel	7	Орел	Орловская область		
Oryol	1	Орел	Орловская область		
Орел	53	Орел	Орловская область		
ОРЁЛ	2	Орел	Орловская область		
Орёл	10	Орел	Орловская область		
Орловскаяобласть	4	Орловская область	Орловская область		
Судбищи(Орловскаяобласть)	1	Судбищи	Орловская область		
CookIslands	5	Острова Кука	Острова Кука		
Pavlodar	3	Павлодар	Павлодарская область		
Павлодар	1	Павлодар	Павлодарская область		
Ekibastuz	1	Экибастуз	Павлодарская область		
Ёкебастус	1	Экибастуз	Павлодарская область		
Islamabad	1	Исламабад	Пакистан		
Pakistan	2	Пакистан	Пакистан		
Palau	4	Палау	Палау		
Gaza	2	Газа	Палестина		
Palestine	4	Палестина	Палестина		
Panama	4	Панама	Панама		
PanamaCity	1	Панама	Панама		
Panama-City	1	Панама	Панама		
Порт-Морсби	1	Port Moresby	Папуа - Новая Гвинея		
PapuaNewGuinea	12	Папуа - Новая Гвинея	Папуа - Новая Гвинея		
Paraguay	6	Парагвай	Парагвай		
Кузнецк	1	Кузнецк	Пензенская область		
Москва-Пенза	1	Москва, Пенза	Пензенская область		
Penza	6	Пенза	Пензенская область		
pnz	1	Пенза	Пензенская область		
Пенза	80	Пенза	Пензенская область		
Пензенскаяобласть	11	Пензенская область	Пензенская область		
Шемышейка(Пензенскаяобласть)	1	Шемышейка	Пензенская область		
Пенза-Владивосток	1	Пенза, Владивосток	Пензенская область, Приморский край		
Барда	1	Барда	Пермский край		
Berezniki<-->Perm	1	Березники	Пермский край		
Березники	5	Березники	Пермский край		
c.Б-Коча	1	Большая Коча	Пермский край		
Добрянка	1	Добрянка	Пермский край		
Краснокамск	4	Краснокамск	Пермский край		
Кудымкар	1	Кудымкар	Пермский край		
Кунгур	1	Кунгур	Пермский край		
Moscow-Perm	1	Москва, Пермь	Пермский край		
Нытва	1	Нытва	Пермский край		
Пермскийкрай	18	Пермский край	Пермский край		
почтиПермь	1	Пермский край	Пермский край		
CityPerm	1	Пермь	Пермский край		
Gthvm	1	Пермь	Пермский край		
PERM	1	Пермь	Пермский край		
perm	4	Пермь	Пермский край		
Perm	52	Пермь	Пермский край		
Perm(Пермь)	1	Пермь	Пермский край		
г.Пермь	1	Пермь	Пермский край		
ПЕРМЬ	1	Пермь	Пермский край		
пермь	3	Пермь	Пермский край		
Пермь	323	Пермь	Пермский край		
Пермь-Прага	1	Пермь	Пермский край		
Пермь-Москва	3	Пермь, Москва	Пермский край		
Perm-Jerusalem-Moscow	1	Пермь, Москва, Иерусалим	Пермский край		
Романово-Усолье-Березники	1	Романово, Усолье, Березники	Пермский край		
Соликамск	3	Соликамск	Пермский край		
Чайковский	7	Чайковский 	Пермский край		
Чернушка	1	Чернушка	Пермский край		
Chusovoy	1	Чусовой	Пермский край		
Чусовой	2	Чусовой	Пермский край		
Lima	3	Лима	Перу		
Peru	4	Перу	Перу		
Piura	1	Пиура	Перу		
Agia-Petropolis	1	Агиа и Петербург	Петербург		
Колпино	2	Колпино	Петербург		
СПб-Колпино	1	Колпино	Петербург		
Кронштадт	3	Кронштадт	Петербург		
Ломоносов	1	Ломоносов	Петербург		
Metallostroy	1	Металлострой	Петербург		
98	1	Петербург	Петербург		
"""СевернаяВенеция"""	1	Петербург	Петербург		
"""улыбкаСевернойстолицы"""	1	Петербург	Петербург		
*Spb	1	Петербург	Петербург		
+Питер	1	Петербург	Петербург		
78RUS	3	Петербург	Петербург		
C.-Петербург	2	Петербург	Петербург		
Cанкт-петербург	1	Петербург	Петербург		
Cанкт-Петербург	13	Петербург	Петербург		
CПБ	1	Петербург	Петербург		
CПб	2	Петербург	Петербург		
C-Пб	2	Петербург	Петербург		
C-Петербург	5	Петербург	Петербург		
Edinburgh-St.-Petersburg	1	Петербург	Петербург		
ElPeterburg	1	Петербург	Петербург		
GothicDamned-Petersburg	1	Петербург	Петербург		
Leningrad	5	Петербург	Петербург		
Leningrad(nowisSaintPetersburg)	1	Петербург	Петербург		
Leningrad/Spb	1	Петербург	Петербург		
OldPetergoff	1	Петербург	Петербург		
Peter	1	Петербург	Петербург		
Peterburg	4	Петербург	Петербург		
Petersburg	5	Петербург	Петербург		
Petrodvorets	1	Петербург	Петербург		
Petrograd	1	Петербург	Петербург		
Petropolis	1	Петербург	Петербург		
pietari	1	Петербург	Петербург		
Pietari	6	Петербург	Петербург		
S.-Pb	1	Петербург	Петербург		
S.Peterburg	1	Петербург	Петербург		
S.-Peterburg	1	Петербург	Петербург		
S.Petersbourg	1	Петербург	Петербург		
S.-Petersburg	5	Петербург	Петербург		
Sain-Petersburg	2	Петербург	Петербург		
saintp	1	Петербург	Петербург		
SaintP	3	Петербург	Петербург		
SaintP.	1	Петербург	Петербург		
SaintPeppersburg	1	Петербург	Петербург		
Saint-Perersburg	1	Петербург	Петербург		
Saint-Peterburg	8	Петербург	Петербург		
SaintPetersberg	1	Петербург	Петербург		
Saint-Petersberg	2	Петербург	Петербург		
Saint-Petersbirg	1	Петербург	Петербург		
SaintPetersbourg	1	Петербург	Петербург		
Saint-Petersbourg	4	Петербург	Петербург		
Saint-Petersbufg	1	Петербург	Петербург		
SaintPetersburg	85	Петербург	Петербург		
Saint-petersburg	2	Петербург	Петербург		
saint-petersburg	3	Петербург	Петербург		
Saint-Petersburg	273	Петербург	Петербург		
Saint-Petersburg(Russia)	1	Петербург	Петербург		
Saint-Petersburg/Санкт-Петербург	1	Петербург	Петербург		
SaintPetesburg	1	Петербург	Петербург		
Saint-Pitersburg	3	Петербург	Петербург		
saint-ptersburg	1	Петербург	Петербург		
Saitn-Perersburg	1	Петербург	Петербург		
Sait-Petersburg	1	Петербург	Петербург		
SanktPeterburg	1	Петербург	Петербург		
Sankt-Peterburg	9	Петербург	Петербург		
SanktPetersburg	1	Петербург	Петербург		
Sankt-Petersburg	10	Петербург	Петербург		
SantPeterburg	1	Петербург	Петербург		
Sant-Petersburg	1	Петербург	Петербург		
Saunt-Petersburg	1	Петербург	Петербург		
SpB	2	Петербург	Петербург		
SPB	15	Петербург	Петербург		
spb	22	Петербург	Петербург		
Spb	38	Петербург	Петербург		
SPb	140	Петербург	Петербург		
s-pb	1	Петербург	Петербург		
S-Pb	17	Петербург	Петербург		
SPb.	1	Петербург	Петербург		
Spb.	1	Петербург	Петербург		
S-Pb.	1	Петербург	Петербург		
Spb.ru	1	Петербург	Петербург		
spb.ru	1	Петербург	Петербург		
SPbCORE#3	1	Петербург	Петербург		
SPb-Praha	1	Петербург	Петербург		
SPb-Toronto	1	Петербург	Петербург		
SPbvs.NYC	1	Петербург	Петербург		
spbЮGO-ZAPAD	1	Петербург	Петербург		
s-peterburg	1	Петербург	Петербург		
S-Peterburg	4	Петербург	Петербург		
S-Petersburg	4	Петербург	Петербург		
S-Piterburg	1	Петербург	Петербург		
St.-P.	1	Петербург	Петербург		
St.Pb.	1	Петербург	Петербург		
St.Pete	2	Петербург	Петербург		
st.peterburg	1	Петербург	Петербург		
St.Peterburg	8	Петербург	Петербург		
St.-Peterburg	3	Петербург	Петербург		
St.Petersberg	2	Петербург	Петербург		
St.Petersbourg	1	Петербург	Петербург		
St.-Petersbourg	1	Петербург	Петербург		
st.petersburg	2	Петербург	Петербург		
St.Petersburg	182	Петербург	Петербург		
St.-Petersburg	37	Петербург	Петербург		
St.Petersburg-Amsterdam-Australia	1	Петербург	Петербург		
St.Piterburg	1	Петербург	Петербург		
St.Pstersburg	1	Петербург	Петербург		
St.Петербург	1	Петербург	Петербург		
St_Petersburg	1	Петербург	Петербург		
StP	1	Петербург	Петербург		
st-pete	1	Петербург	Петербург		
St-Pete	2	Петербург	Петербург		
StPeterburg	1	Петербург	Петербург		
St-Peterburg	3	Петербург	Петербург		
St-Petersbourg	1	Петербург	Петербург		
St-Pétersbourg	1	Петербург	Петербург		
StPetersburg	10	Петербург	Петербург		
St'Petersburg	1	Петербург	Петербург		
St-Petersburg	33	Петербург	Петербург		
St-Petersburg.	1	Петербург	Петербург		
StPеtersburg	1	Петербург	Петербург		
Stuttgart-Petersburg	1	Петербург	Петербург		
Swansea-Питер-Swansea-Питер	1	Петербург	Петербург		
Бетырбух	1	Петербург	Петербург		
Богословскоекладбище	1	Петербург	Петербург		
Васильевскийостров	1	Петербург	Петербург		
г.Санкт-Петербург	1	Петербург	Петербург		
Гавань	2	Петербург	Петербург		
Город_на_Неве	1	Петербург	Петербург		
Городвсехгородов-Санкт-Петербург	1	Петербург	Петербург		
Город-геройЛенинград	1	Петербург	Петербург		
Город-ГеройЛенинград	2	Петербург	Петербург		
город-геройЛенинград	2	Петербург	Петербург		
городЛенина	1	Петербург	Петербург		
ГородНадВольнойНевой	1	Петербург	Петербург		
ГороднадвольнойНевой	1	Петербург	Петербург		
ГородНаНеве	1	Петербург	Петербург		
ГороднаНеве	1	Петербург	Петербург		
городнаНеве	1	Петербург	Петербург		
Город-на-Неве	1	Петербург	Петербург		
ГородСвятогоАпостолаПетра	1	Петербург	Петербург		
Городтрёхреволюций	1	Петербург	Петербург		
градСвятогоПетра	1	Петербург	Петербург		
Комендань	1	Петербург	Петербург		
КоторыйнаНеве	1	Петербург	Петербург		
Кузьмолово	2	Петербург	Петербург		
Купчино	1	Петербург	Петербург		
ЛенинГАД	1	Петербург	Петербург		
Ленинград	27	Петербург	Петербург		
Ленинград(former)	1	Петербург	Петербург		
Ленинград/С.-Петербург	1	Петербург	Петербург		
ЛенинградСанкт-Петербург	1	Петербург	Петербург		
ЛисийНос	1	Петербург	Петербург		
милыйПитер	1	Петербург	Петербург		
наберегуНевы	1	Петербург	Петербург		
НаВасильевскийостровяпридуумирать...апокапойдупомиру…	1	Петербург	Петербург		
НадвольнойНевой	3	Петербург	Петербург		
НаНеве	3	Петербург	Петербург		
наНеве	3	Петербург	Петербург		
Невоград	1	Петербург	Петербург		
Невскийгородок	1	Петербург	Петербург		
Ниеншанц	2	Петербург	Петербург		
петербург	4	Петербург	Петербург		
Петербург	80	Петербург	Петербург		
Петербург-Гельсингфорс	1	Петербург	Петербург		
Петергоф	2	Петербург	Петербург		
ПЕТРОГРАД	1	Петербург	Петербург		
Петроград	7	Петербург	Петербург		
Петроград-на-Неве	1	Петербург	Петербург		
Петродворец	1	Петербург	Петербург		
Петрозаводск	53	Петербург	Петербург		
ПитЕр	1	Петербург	Петербург		
ПИТЕР	2	Петербург	Петербург		
питер	9	Петербург	Петербург		
Питер	282	Петербург	Петербург		
Питер!	2	Петербург	Петербург		
Питер(москва)	1	Петербург	Петербург		
Питер)	1	Петербург	Петербург		
Питер.	1	Петербург	Петербург		
Питер...	1	Петербург	Петербург		
Питер/Москва/Paris	1	Петербург	Петербург		
Питер_рулез	1	Петербург	Петербург		
ПитерSPb	1	Петербург	Петербург		
Питер-Москва	4	Петербург	Петербург		
Питер-Москва-Питер	1	Петербург	Петербург		
Питер-Мск	1	Петербург	Петербург		
Питеррр	1	Петербург	Петербург		
Питер-Штаны-Вытер	1	Петербург	Петербург		
Питраграт/Маскваиакренасти	1	Петербург	Петербург		
С._Петербурх	1	Петербург	Петербург		
С.Петербург	7	Петербург	Петербург		
С.-Петербург	7	Петербург	Петербург		
С_Пб.	1	Петербург	Петербург		
СPb	1	Петербург	Петербург		
Санк-Перебург	1	Петербург	Петербург		
Санк-Петербург	1	Петербург	Петербург		
Санкт_Петербург	4	Петербург	Петербург		
Санкт-Ленинград	1	Петербург	Петербург		
Санкт-Перебург	2	Петербург	Петербург		
Санкт-Перербург	1	Петербург	Петербург		
Санкт-Петебрург	1	Петербург	Петербург		
Санкт-Петебург	2	Петербург	Петербург		
Санкт-Петербруг	1	Петербург	Петербург		
Санкт-Петербуг	1	Петербург	Петербург		
САНКТПЕТЕРБУРГ	1	Петербург	Петербург		
Санктпетербург	2	Петербург	Петербург		
СанктПетербург	19	Петербург	Петербург		
Санкт-петербург	6	Петербург	Петербург		
санкт-петербург	9	Петербург	Петербург		
Санкт-Петербург	3434	Петербург	Петербург		
Санкт-Петербург.	2	Петербург	Петербург		
Санкт-Петербург/Маями	1	Петербург	Петербург		
Санкт-Петербург/Москва	3	Петербург	Петербург		
Санкт-Петербург/Пушкин	1	Петербург	Петербург		
Санкт-Петербург3	1	Петербург	Петербург		
Санкт-ПетербургиЛО	1	Петербург	Петербург		
Санкт-Петербург-Москва	4	Петербург	Петербург		
Санкт-Петербург-Петроград-Ленинград-Санкт-Петербург	1	Петербург	Петербург		
Санкт-Петербургъ	1	Петербург	Петербург		
Санкт-Петеребург	1	Петербург	Петербург		
Санкт-Петерург	1	Петербург	Петербург		
Санкт-Петерьург	1	Петербург	Петербург		
СанктПетребург	1	Петербург	Петербург		
Санкт-Петребург	2	Петербург	Петербург		
Санкт-Питербург	1	Петербург	Петербург		
Санкт-Питер-БУХХ	1	Петербург	Петербург		
СанктПтербург	1	Петербург	Петербург		
Санкт-Птербург	2	Петербург	Петербург		
Санкть-Петербургъ	1	Петербург	Петербург		
Саркт-Петербург	1	Петербург	Петербург		
СевернаяПальмира	2	Петербург	Петербург		
Севернаястолицa	1	Петербург	Петербург		
СевернаяСтолица	2	Петербург	Петербург		
сепебе	1	Петербург	Петербург		
СлавныйградПетра	1	Петербург	Петербург		
Сосняра-центмира	1	Петербург	Петербург		
СпБ	1	Петербург	Петербург		
сПб	1	Петербург	Петербург		
спб	12	Петербург	Петербург		
СПБ	19	Петербург	Петербург		
Спб	25	Петербург	Петербург		
СПб	135	Петербург	Петербург		
С-Пб	17	Петербург	Петербург		
С-Пб.	1	Петербург	Петербург		
спб.ру	1	Петербург	Петербург		
Спб+	1	Петербург	Петербург		
СПбрг	1	Петербург	Петербург		
С-Петербург	17	Петербург	Петербург		
СредняяРогатка	1	Петербург	Петербург		
Ст.Петербург	1	Петербург	Петербург		
Фанк-Петербург	1	Петербург	Петербург		
Эспэбэ	1	Петербург	Петербург		
ЭтогородЛенинград	1	Петербург	Петербург		
ЭтоПитер	1	Петербург	Петербург		
Пушкин	6	Пушкин	Петербург		
Cfyrn-Gtnth	1	Санкт-Петербург	Петербург		
Pietari-Petroskoi	1	Петербург, Петрозаводск	Петербург, Карелия		
Сочи(СПб-роднойгород)	1	Петербург, Сочи	Петербург, Краснодарский край		
СПб-Кишинев	1	Петербург, Кишинев	Петербург, Молдавия		
SPB_Moscow	1	Петербург, Москва	Петербург, Москва		
SPb-Moscowia	1	Петербург, Москва	Петербург, Москва		
spb-moska	1	Петербург, Москва	Петербург, Москва		
Spb-Msk	1	Петербург, Москва	Петербург, Москва		
St.Petersburg-Moscow	4	Петербург, Москва	Петербург, Москва		
St-Petersburg-Moscow	1	Петербург, Москва	Петербург, Москва		
Петербург-Москва	1	Петербург, Москва	Петербург, Москва		
питер-москва	1	Петербург, Москва	Петербург, Москва		
СПб/Мск	1	Петербург, Москва	Петербург, Москва		
СПб-Москва	1	Петербург, Москва	Петербург, Москва		
Спб-Мск	1	Петербург, Москва	Петербург, Москва		
СПБ-Мурманск	1	Петербург, Мурманск	Петербург, Мурманская область		
Oslo-Санкт-Петербург-Екатеринбург	1	Петербург, Екатеринбург	Петербург, Свердловская область		
СПб-Tallinn-Ratingen	1	Петербург, Таллин	Петербург, Эстония		
Kremenchug	13	Кременчуг	Полтавская область		
кременчуг	2	Кременчуг	Полтавская область		
Кременчуг	5	Кременчуг	Полтавская область		
Кременчук	1	Кременчуг	Полтавская область		
Lubny	1	Лубны	Полтавская область		
Mirgorod	1	Миргород	Полтавская область		
poltava	1	Полтава	Полтавская область		
Poltava	25	Полтава	Полтавская область		
полтава	1	Полтава	Полтавская область		
Полтава	9	Полтава	Полтавская область		
Kathmandu-Poltava-Moscow	1	Полтава, Москва	Полтавская область		
PoltavaOblast	1	Полтавская область	Полтавская область		
Кременчук-у-Києві	1	Кременчуг, Киев	Полтавская область, Киев		
Białystok	1	Białystok	Польша		
Gdynia	1	Gdynia	Польша		
GorzówWlkp.	1	Gorzów Wielkopolski	Польша		
Jeziorna	1	Jeziorna	Польша		
Katowice	1	Katowice	Польша		
Krakow	1	Kraków	Польша		
Kraków	3	Kraków	Польша		
Краков	1	Kraków	Польша		
Łódź	1	Łódź	Польша		
Lublin	1	Lublin	Польша		
Nedza	1	Nędza	Польша		
Olsztyn	1	Olsztyn	Польша		
Opole	1	Opole	Польша		
Przemyśl	1	Przemyśl	Польша		
Сокулка	1	Sokółka	Польша		
Szczecin	1	Szczecin	Польша		
Warsaw	4	Warszawa	Польша		
warszawa	1	Warszawa	Польша		
Warszawa	7	Warszawa	Польша		
Варшава	3	Warszawa	Польша		
Wroclaw	1	Wrocław	Польша		
Wrocław	1	Wrocław	Польша		
Poland	25	Польша	Польша		
Coimbra	1	Coimbra	Португалия		
Faro	2	Faro	Португалия		
Leiria	2	Leiria	Португалия		
Lisboa	1	Lisboa	Португалия		
Lisbon	1	Lisboa	Португалия		
Ovar	1	Ovar	Португалия		
Porto	1	Porto	Португалия		
Portugal	5	Португалия	Португалия		
Рашково	1	Рашково	Приднестровье		
БольшойКамень	2	Большой Камень	Приморский край		
Bloodyvostok	1	Владивосток	Приморский край		
Thailand-Australia-Vietnam-Vladivostok	1	Владивосток	Приморский край		
vladivostok	3	Владивосток	Приморский край		
Vladivostok	45	Владивосток	Приморский край		
Vladivostok!	1	Владивосток	Приморский край		
Vladivstk	1	Владивосток	Приморский край		
vl-k	1	Владивосток	Приморский край		
Wladiwoctok	1	Владивосток	Приморский край		
Блядивосторг	1	Владивосток	Приморский край		
владивосток	2	Владивосток	Приморский край		
Владивосток	175	Владивосток	Приморский край		
Владивосток-пирсннакраювселенной	1	Владивосток	Приморский край		
Городнашенский	1	Владивосток	Приморский край		
Шамора-йоп-та	1	Владивосток	Приморский край		
Владивостокрод.гАрсеньев	1	Владивосток, Арсеньев	Приморский край		
Vladivostok-Moscow-Antalya	1	Владивосток, Москва	Приморский край		
ПоселокДунайПриморскогокрая	1	Дунай	Приморский край		
Камень-Рыболов	1	Камень-Рыболов	Приморский край		
Лесозаводск	1	Лесозаводск	Приморский край		
Moscow/Capd’Antibes/Vladivostok	1	Москва, Владивосток	Приморский край		
Moscow-Vladivostok	1	Москва, Владивосток	Приморский край		
Находка	11	Находка	Приморский край		
ОстровРусский	1	Остров Русский	Приморский край		
Ебеня-под-Владивостоком	1	Приморский край	Приморский край		
ПриморскийКрай	1	Приморский край	Приморский край		
Приморскийкрай	14	Приморский край	Приморский край		
Спасск-Дальний	3	Спасск-Дальний	Приморский край		
уссурийск	1	Уссурийск	Приморский край		
Уссурийск	9	Уссурийск	Приморский край		
Чугуевка	1	Чугуевка	Приморский край		
Владивосток-Иркутск	1	Владивосток, Иркутск	Приморский край, Иркутская область		
Владивосток-Краснодар	1	Владивосток, Краснодар	Приморский край, Краснодарский край		
Владивосток-НижнийНовгород-Москва	1	Владивосток, Нижний Новгород, Москва	Приморский край, Нижегородская область		
ВеликиеЛуки	3	Великие Луки	Псковская область		
Дедовичи	1	Дедовичи	Псковская область		
Изборск	1	Изборск	Псковская область		
Новоржев	2	Новоржев	Псковская область		
Печоры	1	Печоры	Псковская область		
Pskov	3	Псков	Псковская область		
псков	3	Псков	Псковская область		
Псков	35	Псков	Псковская область		
Pskov-Moscow	1	Псков, Москва	Псковская область		
Псков-Петербург	1	Псков, Петербург	Псковская область		
Псковскаяобласть	5	Псковская область	Псковская область		
PuertoRico	5	Пуэрто-Рико	Пуэрто-Рико		
Горно-Алтайск	3	Горно-Алтайск	Республика Алтай		
с.Манжерок	1	Манжерок	Республика Алтай		
АлтайРеспублика	8	Республика Алтай	Республика Алтай		
ГорныйАлтай	1	Республика Алтай	Республика Алтай		
rivne	1	Ровно	Ровенская область		
Rivne	11	Ровно	Ровенская область		
Rivne-Lviv	1	Ровно, Львов	Ровенская область, Львовская область		
Рівненськаобл	1	Ровненская область	Ровненская область		
Рівне	6	Ровно	Ровненская область		
ровно	1	Ровно	Ровненская область		
Ровно	3	Ровно	Ровненская область		
Ровно(Рівне)	1	Ровно	Ровненская область		
Сарни	1	Сарны	Ровненская область		
01-99rus	1	Россия	Россия		
Gardariki	1	Россия	Россия		
putin'sautonomousdistrict	1	Россия	Россия		
RF	1	Россия	Россия		
RU	1	Россия	Россия		
ru	1	Россия	Россия		
Rus-Getto	1	Россия	Россия		
RUSSIA	1	Россия	Россия		
russia	1	Россия	Россия		
Russia	9	Россия	Россия		
RussianFederation	6584	Россия	Россия		
RussinFederation	1	Россия	Россия		
USA&Russia	1	Россия	Россия		
USSR/RU/CCCP	1	Россия	Россия		
впределахРФ	1	Россия	Россия		
всяРоссия	1	Россия	Россия		
ВсяРоссия	2	Россия	Россия		
гдетовРоссии	1	Россия	Россия		
где-товРоссии	1	Россия	Россия		
нашаRussia	1	Россия	Россия		
Путинляндия	1	Россия	Россия		
РАША	1	Россия	Россия		
Роисся	1	Россия	Россия		
Российскаядочь	1	Россия	Россия		
Российскаяимперия	1	Россия	Россия		
Россия	11	Россия	Россия		
Россия-США	1	Россия	Россия		
